,0
1909,11008
1910,1291
1911,13896
1912,9270
1913,12324
1914,6709
1915,7465
1916,13450
1917,4983
1918,3105
1919,4730
1920,3366
1921,11451
1922,12338
1923,9954
1924,12203
1925,4540
1926,12138
1927,4666
1928,4289
1929,9734
1930,1765
1931,2446
1932,4291
1933,3513
1934,5817
1935,10326
1936,9443
1937,9027
1938,13540
1939,4471
1940,2048
1941,5541
1942,11746
1943,6692
1944,181
1945,1767
1946,11495
1947,11036
1948,4499
1949,6783
1950,3230
1951,11460
1952,7566
1953,10861
1954,9813
1955,10763
1956,7322
1957,12872
1958,2881
1959,7447
1960,1769
1961,6832
1962,1771
1963,4145
1964,12905
1965,13632
1966,686
1967,1773
1968,762
1969,508
1970,6164
1971,9865
1972,4524
1973,164
1974,7252
1975,8586
1976,13058
1977,1775
1978,12688
1979,2137
1980,1776
1981,6813
1982,12928
1983,2095
1984,2097
1985,824
1986,10136
1987,1778
1988,271
1989,827
1990,2773
1991,709
1992,4760
1993,13090
1994,13101
1995,5036
1996,1780
1997,5533
1998,3519
1999,1782
2000,1784
2001,3626
2002,2149
2003,12756
2004,742
2005,6664
2006,5960
2007,1787
2008,1789
2009,12690
2010,524
2011,3914
2012,515
2013,4186
2014,5023
2015,6006
2016,1791
2017,6016
2018,11875
2019,12028
2020,8186
2021,13238
2022,13469
2023,9529
2024,11648
2025,13730
2026,2589
2027,6598
2028,1793
2029,1795
2030,1797
2031,1799
2032,1801
2033,1803
2034,13223
2035,1806
2036,7607
2037,662
2038,1808
2039,958
2040,4762
2041,7967
2042,2099
2043,777
2044,3047
2045,2841
2046,1810
2047,1812
2048,2168
2049,1814
2050,1816
2051,1818
2052,679
2053,620
2054,821
2055,7050
2056,6872
2057,1820
2058,2153
2059,2582
2060,4753
2061,451
2062,1822
2063,9497
2064,11719
2065,9385
2066,10889
2067,2260
2068,406
2069,12856
2070,494
2071,136
2072,1824
2073,4908
2074,10142
2075,6589
2076,2083
2077,3805
2078,1826
2079,1828
2080,1830
2081,511
2082,1833
2083,1835
2084,1838
2085,1840
2086,1844
2087,288
2088,945
2089,526
2090,5417
2091,1847
2092,3517
2093,3521
2094,1849
2095,5470
2096,4241
2097,2984
2098,13805
2099,1851
2100,2170
2101,8616
2102,10628
2103,1853
2104,1855
2105,1122
2106,2686
2107,1133
2108,1857
2109,449
2110,1860
2111,1862
2112,4606
2113,12132
2114,13943
2115,8193
2116,3678
2117,3675
2118,4002
2119,7304
2120,3860
2121,11588
2122,2225
2123,7356
2124,10530
2125,5505
2126,4510
2127,3347
2128,5750
2129,11783
2130,7515
2131,748
2132,130
2133,658
2134,1085
2135,292
2136,1865
2137,962
2138,9627
2139,4536
2140,9401
2141,1867
2142,11670
2143,7368
2144,10097
2145,3564
2146,259
2147,10636
2148,8324
2149,5826
2150,10620
2151,12684
2152,12036
2153,6329
2154,9604
2155,4398
2156,8342
2157,10225
2158,1868
2159,5300
2160,2173
2161,2175
2162,1870
2163,6252
2164,2056
2165,2052
2166,1872
2167,5582
2168,1874
2169,1876
2170,7493
2171,5678
2172,7236
2173,3952
2174,10694
2175,9398
2176,4244
2177,12272
2178,8802
2179,2340
2180,12176
2181,3456
2182,33
2183,7242
2184,8594
2185,6420
2186,9034
2187,12671
2188,13836
2189,7379
2190,7927
2191,4930
2192,8669
2193,10319
2194,2965
2195,3281
2196,4685
2197,3616
2198,6041
2199,3760
2200,38
2201,9598
2202,3327
2203,12698
2204,4809
2205,7871
2206,7604
2207,9261
2208,5108
2209,1878
2210,1880
2211,1882
2212,8255
2213,9404
2214,4830
2215,10504
2216,13894
2217,9537
2218,1884
2219,1886
2220,2785
2221,1888
2222,10604
2223,1890
2224,5268
2225,1892
2226,10217
2227,1894
2228,8106
2229,7577
2230,459
2231,2883
2232,7766
2233,13476
2234,12963
2235,11493
2236,1896
2237,7824
2238,6459
2239,12988
2240,10631
2241,4320
2242,6050
2243,10570
2244,5611
2245,5587
2246,12753
2247,694
2248,1898
2249,12035
2250,35
2251,4332
2252,10739
2253,9542
2254,5431
2255,2788
2256,1900
2257,1902
2258,480
2259,9160
2260,12808
2261,10076
2262,470
2263,5352
2264,2498
2265,2679
2266,6313
2267,9572
2268,4993
2269,13041
2270,1905
2271,8851
2272,4868
2273,274
2274,791
2275,8061
2276,1907
2277,6990
2278,3649
2279,4938
2280,1909
2281,2465
2282,6349
2283,1911
2284,4920
2285,7539
2286,249
2287,8066
2288,7471
2289,11650
2290,12603
2291,897
2292,7035
2293,2258
2294,246
2295,5546
2296,2564
2297,10392
2298,370
2299,4572
2300,8129
2301,13071
2302,7400
2303,5531
2304,1913
2305,9329
2306,12845
2307,5672
2308,8237
2309,9179
2310,1914
2311,183
2312,6724
2313,13172
2314,3491
2315,11409
2316,8659
2317,5886
2318,7715
2319,8715
2320,3833
2321,10663
2322,5989
2323,4414
2324,148
2325,6631
2326,9171
2327,6875
2328,12038
2329,11793
2330,4743
2331,13571
2332,2936
2333,4876
2334,3569
2335,11868
2336,8124
2337,6823
2338,8445
2339,12313
2340,5874
2341,5595
2342,9352
2343,7351
2344,11820
2345,8027
2346,10866
2347,13379
2348,10926
2349,9786
2350,7041
2351,13361
2352,1696
2353,4771
2354,7773
2355,9517
2356,10932
2357,7543
2358,11892
2359,13634
2360,13829
2361,11293
2362,12778
2363,9070
2364,3251
2365,8456
2366,3566
2367,8336
2368,12472
2369,6758
2370,2209
2371,882
2372,195
2373,2370
2374,6355
2375,13162
2376,11337
2377,10293
2378,7789
2379,6314
2380,6176
2381,8135
2382,2055
2383,13215
2384,8122
2385,10856
2386,2237
2387,11886
2388,14036
2389,11725
2390,10572
2391,5314
2392,7970
2393,10068
2394,3267
2395,6316
2396,12352
2397,8649
2398,7974
2399,7620
2400,11497
2401,3647
2402,2998
2403,10652
2404,2241
2405,2270
2406,10036
2407,6034
2408,4484
2409,5107
2410,11906
2411,13336
2412,5253
2413,6435
2414,463
2415,9299
2416,5504
2417,8519
2418,3597
2419,6033
2420,847
2421,10437
2422,13055
2423,2673
2424,9453
2425,1917
2426,8923
2427,4428
2428,2492
2429,12552
2430,8286
2431,4090
2432,1919
2433,9146
2434,8201
2435,5251
2436,10681
2437,9912
2438,7448
2439,8826
2440,8180
2441,3306
2442,10283
2443,841
2444,588
2445,11982
2446,4917
2447,12142
2448,12913
2449,1920
2450,2243
2451,3740
2452,9016
2453,9340
2454,5764
2455,6942
2456,880
2457,5349
2458,8037
2459,8534
2460,11331
2461,2641
2462,3531
2463,427
2464,956
2465,7548
2466,5311
2467,157
2468,2487
2469,4559
2470,8531
2471,12758
2472,4036
2473,392
2474,8590
2475,10079
2476,12766
2477,9192
2478,9957
2479,4489
2480,2141
2481,9046
2482,4659
2483,8588
2484,4577
2485,12634
2486,14014
2487,281
2488,13941
2489,12496
2490,1922
2491,4991
2492,5747
2493,9169
2494,7892
2495,11827
2496,8319
2497,8810
2498,4774
2499,8346
2500,6973
2501,11785
2502,10421
2503,675
2504,404
2505,5274
2506,6959
2507,10226
2508,12265
2509,1153
2510,6046
2511,8219
2512,9593
2513,13145
2514,13105
2515,12316
2516,13701
2517,9316
2518,8133
2519,1924
2520,3299
2521,4745
2522,10692
2523,4841
2524,12354
2525,8511
2526,4276
2527,7386
2528,7427
2529,8251
2530,11313
2531,13034
2532,695
2533,2247
2534,9010
2535,10503
2536,3848
